time,ratio,brake_count,brake_time,time_lenth
2020-07-06,0.15498027922118576,0.036186063982971264,0.4432479809678833,31946
2020-07-07,0.14684643022304436,0.00892888904699228,0.491551350005336,28111
2020-07-08,0.18942544343545786,0.02181108376474582,0.732835440889417,11783
2020-07-09,0.16485283868546616,0.02005039403849247,0.3963080112225022,55959
2020-07-10,0.16532758746621867,0.00624497845299832,0.38609305383098386,54764
2020-07-11,0.10757563988037441,0.07440672699732008,0.7157338719074067,102988
2020-07-12,0.45634689357734004,0.07316315032832109,0.7244822628900027,51474
2020-07-13,0.12856220832092147,0.11317148247443154,0.6185334127693377,80568
2020-07-14,0.15202735847734375,0.09190037702000028,0.49241054534751716,71349
2020-07-15,0.16968678153815728,0.08788410669699143,0.4879113000914687,80902
